epoch,train_total,train_charb,train_fft,train_ssim,train_ssim_full,train_lpips,val_total,val_charb,val_fft,val_ssim,val_ssim_full,val_lpips,val_psnr,learning_rate
0,nan,,,,,,0.069596306825988,0.02943263666355051,0.030684204414719717,0.08655931994318962,0.22175054252147675,0.38992365889251235,28.795169496536253,5e-05
1,0.07477801999875477,0.03316654507602964,0.03298723455518484,0.09314408387456621,0.23494213121277946,0.3576745455605643,0.0691187456715852,0.029464926721993835,0.0306740780279506,0.08540348768234253,0.2198163852095604,0.3799063792824745,28.791448113918303,5e-05
2,0.07464869424700737,0.03324475688593728,0.03299323377864701,0.09278276375361852,0.2344724794796535,0.3514375455890383,0.06874514276860282,0.029520019623450935,0.030681490882998333,0.08468856006860732,0.21859480425715447,0.3681355862319469,28.780539174079895,4.945915311816169e-05
3,0.07438579152737344,0.03313787662557193,0.03297838428722961,0.09238874009677342,0.2338385273729052,0.3488134294748306,0.06848221114836633,0.029582000660011546,0.030696432723198087,0.08424802005290985,0.21785016670823099,0.3577784866839647,28.7690216422081,4.786025007665437e-05
4,0.07417344046490533,0.03312682706330504,0.03294220789202622,0.09192480989864894,0.232877779347556,0.3459621661901474,0.06830621082568542,0.029635273510357364,0.030712503262329847,0.08397036656737328,0.21735042244195937,0.35016164269298317,28.75693217277527,4.527317061077995e-05
5,0.07404688442392009,0.03309270259525095,0.032936886857662884,0.09167707937104361,0.23246433905192784,0.3446597439902169,0.06817522945348173,0.02966819133842364,0.03072655519004911,0.08378910675644874,0.21700930312275887,0.34454345306381584,28.751219141483308,4.181098250738174e-05
6,0.07403257951140403,0.033062694487827164,0.0329517979866692,0.0917388163294111,0.2327436648096357,0.34370231441089083,0.06808704932453111,0.029691580621292814,0.030737954155774787,0.0836711783707142,0.21676330596208573,0.34075609924271705,28.748261499404908,3.7625e-05
7,0.07384413201894079,0.032976935649556775,0.032924242088837284,0.09150304811341423,0.2322571895803724,0.34224798841135845,0.06804234720766544,0.029734107814729214,0.030747984951594844,0.08357508406043053,0.21660270899534226,0.33765300633385775,28.742590012550355,3.289817061077995e-05
8,0.07365998485258647,0.03291371596178838,0.03290351246084486,0.09118166140147618,0.23165845326014928,0.340854069675718,0.06802210490684957,0.02978025426855311,0.030755958886584268,0.08349447369575501,0.21648161724209786,0.33532215556129813,28.73085739850998,2.7837079465874424e-05
9,0.07342859008482525,0.03282889007457665,0.032866384956453526,0.0908270902293069,0.23090608647891453,0.3391531355891909,0.06802980005741119,0.029836352558340877,0.030761918872594832,0.08344605341553687,0.21643070951104165,0.3333837470412254,28.71549160242081,2.266292053412558e-05
10,0.07337224687848773,0.03279954476015908,0.03287125765745129,0.09077779122761317,0.23079246708324977,0.338605637550354,0.06801140952855349,0.029857501701917498,0.03076646682107821,0.08340467050671578,0.21636672914028168,0.33192221125587823,28.708787865638733,1.7601829389220053e-05
11,0.07337138421833515,0.03280971476542098,0.03287635139056615,0.09072501063346863,0.23081697974886212,0.33818261214665,0.06803078411146998,0.029908218514174224,0.030771932394709437,0.0833748234808445,0.21632414162158967,0.3307035893388093,28.696665313243866,1.2875000000000006e-05
12,0.07317815963711058,0.032748685755899974,0.03283893521875143,0.09039207628795079,0.23004190581185477,0.3372063968011311,0.06803907431662083,0.02993817217531614,0.030773874518927186,0.08335138663649559,0.21630356028676034,0.32983564561232925,28.689046845436096,8.689017492618268e-06
13,0.0731882177825485,0.03275515315255949,0.032845851741731165,0.09038189274924142,0.2301386948994228,0.336935647044863,0.06806541613303124,0.029976550644496457,0.030776150115998463,0.08335237354040145,0.21632381930947303,0.32912191638723015,28.679751982688902,5.2268293892200535e-06
14,0.07310937713299479,0.032749763477061475,0.032831346775804245,0.09015100870813643,0.2298193291255406,0.3360506024530956,0.06805798862595111,0.029978462973376738,0.03077628617291339,0.08334693685173988,0.21634209796786308,0.3285903550870717,28.679578318595887,2.639749923345626e-06
15,0.07319669656455517,0.03274312185389655,0.032858846352568694,0.09049493636403765,0.23026808398110526,0.3367164782115391,0.06805854134261607,0.02998500900226645,0.030776981519302353,0.08334657594561577,0.21635301113128663,0.32823619393631814,28.677721824645996,1.0408468818383093e-06
