epoch,train_total,train_charb,train_fft,train_ssim,train_ssim_full,train_lpips,val_total,val_charb,val_fft,val_ssim,val_ssim_full,val_lpips,val_psnr,learning_rate
0,nan,,,,,,0.10079020038247108,0.02943263666355051,0.030684204414719717,0.08655931994318962,0.22175054252147675,0.38992365889251235,28.795169496536253,5e-05
1,0.10219962047679083,0.03346858566892998,0.03319630076310464,0.09483893922397069,0.24005220753805978,0.3358210360152381,0.09864065367728472,0.029469119333662093,0.03068757427390665,0.08540087819099426,0.21985785841941832,0.3711128075048327,28.7902624130249,5e-05
2,0.10127888279301779,0.03359277057860579,0.03323056912315743,0.09443058746201652,0.24019585847854613,0.3256193745136261,0.0965696560125798,0.029570850469172003,0.030727277473779395,0.0848488450050354,0.21919874995946884,0.35057680431753396,28.766266074180603,4.945915311816169e-05
3,0.10080332262175423,0.03351958377552884,0.03322453437639134,0.09412613238607134,0.23988915528569904,0.32220981742654525,0.09514146885834635,0.029683718627784402,0.030777041666442528,0.08462660446763039,0.21922846347093583,0.33533390045166017,28.739221642017366,4.786025007665437e-05
4,0.10035155377217701,0.03352976005524397,0.03319535516734634,0.09365901470184326,0.23912282807486399,0.3188384016071047,0.09425070396158844,0.029786216111388056,0.030825151547323914,0.08455695420503616,0.21953564882278442,0.3251396886818111,28.712279868125915,4.527317061077995e-05
5,0.10003951521856444,0.0334994807892612,0.03319003365933895,0.09341178672654288,0.23879690408706666,0.31659662434032987,0.09366632902994752,0.02986281458986923,0.03086752491304651,0.08456490516662597,0.2199612495303154,0.3180752153880894,28.692817678451537,4.181098250738174e-05
6,0.09986318098647254,0.033462707038436616,0.03320876587182284,0.09343336820602417,0.23900395938328334,0.31496301548821587,0.09330046776216477,0.02992848923779093,0.03090079271933064,0.0845976385474205,0.2203725489974022,0.3132991850376129,28.67641294002533,3.7625e-05
